City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
528,Araouane,18.9048,-3.5265,31.12,12,100,6.07,ML,1670236876
529,Tubmanburg,6.8708,-10.8172,29.52,64,100,0.37,LR,1670236877
530,Sterling,39.0062,-77.4286,1.44,83,0,0.0,US,1670236741
531,Polunochnoye,60.8697,60.4153,-14.38,100,97,1.25,RU,1670236878
532,Puquio,-14.7,-74.1333,8.17,46,56,1.25,PE,1670236878
533,Nacala,-14.5428,40.6728,31.62,58,40,7.2,MZ,1670236879
534,Vanavara,60.34,102.2797,-12.1,90,100,6.05,RU,1670236879
535,Tangier,35.7806,-5.8137,16.64,94,75,1.54,MA,1670236839
536,Monrovia,6.3005,-10.7969,27.87,70,100,0.23,LR,1670236679
537,Agde,43.3108,3.4758,11.05,89,0,1.54,FR,1670236881
538,Barra do Bugres,-15.0725,-57.1811,23.51,88,100,2.75,BR,1670236615
539,Srednekolymsk,67.45,153.6833,-43.94,100,60,1.23,RU,1670236882
540,Baykal'sk,51.5058,104.1469,-9.39,69,39,2.41,RU,1670236883
541,Manta,-0.95,-80.7333,21.88,83,100,3.09,EC,1670236883
542,Finschhafen,-6.6024,147.8681,26.68,80,100,0.53,PG,1670236884
543,Ørje,59.4802,11.6602,-3.42,82,69,0.29,NO,1670236884
544,San Jose,37.3394,-121.895,11.7,86,75,4.47,US,1670236771
545,Yulara,-25.2406,130.9889,33.22,13,86,3.0,AU,1670236885
546,Casa Nova,-9.4167,-41.1333,24.34,69,100,8.93,BR,1670236886
547,Atbasar,51.8,68.3333,-19.45,97,100,1.8,KZ,1670236886
548,Bahir Dar,11.5936,37.3908,25.92,26,38,3.08,ET,1670236887
549,San Angelo,31.4638,-100.437,15.12,89,100,4.63,US,1670236887
550,Gizo Government Station,-8.103,156.8419,26.97,79,100,1.14,SB,1670236887
551,Kampong Thom,12.7111,104.8887,27.83,68,83,2.01,KH,1670236888
552,Leningradskiy,69.3833,178.4167,-14.34,90,100,11.87,RU,1670236888
553,Auki,-8.7676,160.7034,25.23,87,100,1.77,SB,1670236889
554,Brookhaven,31.5791,-90.4407,17.11,93,100,1.57,US,1670236889
555,Barão de Melgaço,-16.1944,-55.9675,24.74,82,100,2.29,BR,1670236889
556,Caravelas,-17.7125,-39.2481,23.31,85,100,3.38,BR,1670236890
557,Sucúa,-2.4667,-78.1667,18.4,98,83,1.46,EC,1670236890
558,Kumul,42.8,93.45,-2.9,29,100,2.73,CN,1670236891
559,Grand Gaube,-20.0064,57.6608,29.22,57,67,3.13,MU,1670236891
560,Kerema,-7.9631,145.7785,26.59,78,84,2.19,PG,1670236892
561,Montecristi,-1.05,-80.6667,20.9,83,100,3.09,EC,1670236892
562,Cam Ranh,11.9214,109.1591,24.98,88,20,4.12,VN,1670236893
563,Dubai,25.2582,55.3047,29.16,54,20,4.12,AE,1670236483
564,Otane,-39.8833,176.6333,15.56,97,46,0.99,NZ,1670236893
565,Dublin,37.7021,-121.9358,11.81,87,0,3.6,US,1670236894
566,Kavaratti,10.5669,72.642,28.33,71,69,2.9,IN,1670236894
567,Deputatsky,69.3,139.9,-27.82,96,100,1.95,RU,1670236894
568,Vao,-22.6667,167.4833,25.54,88,93,6.44,NC,1670236895
569,Atasū,48.6814,71.6433,-20.63,93,5,2.88,KZ,1670236895
570,Savinka,50.0785,47.0994,-4.8,35,15,5.16,RU,1670236896
571,Kyabé,9.4515,18.9449,36.24,15,0,3.75,TD,1670236896
572,Jalu,29.0331,21.5482,23.27,30,4,3.24,LY,1670236897
